lambdas_1,lambdas_2,lambdas_3,mu_1,mu_2,mu_3,mu_system,Tno,lambda_otkaz,Kg,Trem
0.02,0.07,0.06,0.7,1.3,1.2,3.11468002,306.1846117,0.87,0.9989525144,0.3210602673
0.02,0.07,0.06,0.7,1.3,1.3,3.209209578,365.1956161,0.87,0.9991474773,0.3116032081
0.02,0.07,0.06,0.7,1.3,1.4,3.303739136,428.1636846,0.87,0.9992935564,0.3026873367
0.02,0.07,0.06,0.7,1.3,1.5,3.398268693,494.400501,0.87,0.9994051534,0.2942674904
0.02,0.07,0.06,0.7,1.3,1.6,3.492798251,563.1551455,0.87,0.9994918666,0.2863033958
0.02,0.07,0.06,0.7,1.3,1.7,3.587327808,633.6389579,0.87,0.9995602599,0.2787590244
0.02,0.07,0.06,0.7,1.3,1.8,3.681857366,705.0510528,0.87,0.9996149251,0.2716020477
0.02,0.07,0.06,0.7,1.3,1.9,3.776386923,776.6030697,0.87,0.9996591398,0.2648033743
0.02,0.07,0.06,0.7,1.3,2.0,3.870916481,847.5418272,0.87,0.9996952858,0.2583367543
0.02,0.07,0.06,0.7,1.3,2.1,3.965446038,917.168779,0.87,0.9997251224,0.252178441
