i,j,k,Pijk_ogr (veraiatnosth X=i Y=j Z=K),sum Pijk_ogr (veraiatnosth X<=i Y<=j Z<=K),Pijk_neogr (veraiatnosth X=i Y=j Z=K),sum Pijk_neogr (veraiatnosth X<=i Y<=j Z<=K)
0,0,0,0.4553773106,0.4553773106,0.4679086834,0.4679086834
0,0,1,0.09633881326,0.5517161239,0.09358173668,0.5614904201
0,0,2,0.008870598875,0.5605867227,0.007018630251,0.5685090503
0,0,3,0.0005445193669,0.5611312421,0.0002339543417,0.5687430047
0,1,0,0.1742794022,0.6296567128,0.1763655807,0.6442742641
0,1,1,0.0368702401,0.7628657661,0.03527311613,0.7731291169
0,1,2,0.003394904912,0.7751312699,0.00264548371,0.7827932308
0,1,3,0.0002083953406,0.7758841846,8.818279033e-05,0.783115368
0,2,0,0.03118404947,0.6608407622,0.02848982457,0.6727640886
0,2,1,0.006597241997,0.8006470576,0.005697964914,0.8073169064
0,2,2,0.0006074549339,0.8135200163,0.0004273473685,0.8174083677
0,2,3,3.728846053e-05,0.8143102195,1.424491228e-05,0.8177447497
0,3,0,0.004649836838,0.6654905991,0.002556779128,0.6753208678
0,3,1,0.0009837112047,0.8062806056,0.0005113558256,0.8103850413
0,3,2,9.057727836e-05,0.8192441416,3.835168692e-05,0.8205148543
0,3,3,5.560062287e-06,0.8200399049,1.278389564e-06,0.8208525148
0,4,0,0.0005546677353,0.6660452668,0.0001376727223,0.6754585405
0,4,1,0.0001173445188,0.8069526179,2.753454446e-05,0.8105502486
0,4,2,1.080474339e-05,0.8199269586,2.065090834e-06,0.8206821267
0,4,3,6.632463169e-07,0.8207233851,6.883636114e-08,0.821019856
1,0,0,0.09107546212,0.5464527727,0.09358173668,0.5614904201
1,0,1,0.01926776265,0.6620593486,0.01871634734,0.6737885041
1,0,2,0.001774119775,0.6727040673,0.00140372605,0.6822108604
1,0,3,0.0001089038734,0.6733574905,4.679086834e-05,0.6824916056
1,1,0,0.03485588043,0.7555880553,0.03527311613,0.7731291169
1,1,1,0.007374048021,0.9154389194,0.007054623227,0.9277549402
1,1,2,0.0006789809825,0.9301575239,0.000529096742,0.939351877
1,1,3,4.167906811e-05,0.9310610216,1.763655807e-05,0.9397384416
1,2,0,0.006236809893,0.7930089147,0.005697964914,0.8073169064
1,2,1,0.001319448399,0.9607764691,0.001139592983,0.9687802876
1,2,2,0.0001214909868,0.9762240196,8.546947371e-05,0.9808900412
1,2,3,7.457692105e-06,0.9771722634,2.848982457e-06,0.9812936997
1,3,0,0.0009299673676,0.7985887189,0.0005113558256,0.8103850413
1,3,1,0.0001967422409,0.9675367268,0.0001022711651,0.9724620496
1,3,2,1.811545567e-05,0.98309297,7.670337384e-06,0.9846178252
1,3,3,1.112012457e-06,0.9840478858,2.556779128e-07,0.9850230177
1,4,0,0.0001109335471,0.7992543202,2.753454446e-05,0.8105502486
