i,nomer otkazavshih elementov i-ogo typa,veraiatnosth,lambda (i -> i+1),mu (i+1 -> i)
1,0,0.9238455626,0.04,0.5
1,1,0.07390764501,0.03,1
1,2,0.00221722935,0.02,1.5
1,3,2.9563058e-05,0,0
2,0,0.7105332512,0.42,1.199964524
2,1,0.2486939901,0.36,2.397268373
2,2,0.03734660559,0.3,3.505883049
2,3,0.003195765951,0.24,3.505883049
2,4,0.0002187705117,0.18,3.505883049
2,5,1.123217505e-05,0.12,3.505883049
2,6,3.84456922e-07,0,0
3,0,0.7337470995,0.32,0.9965738469
3,1,0.2356062951,0.24,1.955801088
3,2,0.02891168798,0.16,2.666334339
3,3,0.001734917489,0,0
