lambdas_1,lambdas_2,lambdas_3,mu_1,mu_2,mu_3,Kg,Tno,Trem,lambda_otkaz,mu_system
0.01,0.06,0.13,0.5,1.2,1.0,0.9937684906,59.14055082,0.3708458261,0.98,2.696538371
0.01,0.06,0.14,0.5,1.2,1.0,0.9924953293,49.04449053,0.3708458261,1.02,2.696538371
0.01,0.06,0.15,0.5,1.2,1.0,0.9910953127,41.27529124,0.3708458261,1.06,2.696538371
0.01,0.06,0.16,0.5,1.2,1.0,0.9895698486,35.184326,0.3708458261,1.1,2.696538371
0.01,0.06,0.17,0.5,1.2,1.0,0.9879209043,30.33061026,0.3708458261,1.14,2.696538371
0.01,0.06,0.08,0.5,1.2,1.0,0.998235187,209.7623629,0.3708458261,0.78,2.696538371
0.01,0.06,0.08,0.6,1.2,1.0,0.9982475091,203.683915,0.3575808674,0.78,2.796570206
0.01,0.06,0.08,0.7,1.2,1.0,0.9982538909,197.3706801,0.345233547,0.78,2.896589885
0.01,0.06,0.08,0.8,1.2,1.0,0.9982575257,191.1819851,0.333711186,0.78,2.996603176
0.01,0.06,0.08,0.9,1.2,1.0,0.9982597484,185.2441997,0.3229335033,0.78,3.096612739
0.01,0.06,0.08,1.0,1.2,1.0,0.9982611849,179.5972941,0.3128304323,0.78,3.196619947
0.01,0.06,0.08,1.1,1.2,1.0,0.9982621555,174.2464989,0.3033404845,0.78,3.296625578
0.01,0.06,0.08,1.2,1.2,1.0,0.9982628354,169.1825897,0.29440945,0.78,3.396630101
0.01,0.06,0.08,1.3,1.2,1.0,0.9982633263,164.390509,0.2859893407,0.78,3.496633817
0.01,0.06,0.08,1.4,1.2,1.0,0.9982636901,159.8532339,0.2780375169,0.78,3.596636926
0.01,0.06,0.08,0.5,1.2,1.0,0.998235187,209.7623629,0.3708458261,0.78,2.696538371
0.01,0.06,0.08,0.5,1.3,1.0,0.9982571283,204.7630968,0.35749888,0.78,2.797211561
0.01,0.06,0.08,0.5,1.4,1.0,0.9982753081,199.7481111,0.3450991452,0.78,2.897717986
0.01,0.06,0.08,0.5,1.5,1.0,0.9982906098,194.7909568,0.3335439074,0.78,2.99810603
0.01,0.06,0.08,0.5,1.6,1.0,0.9983036615,189.9378474,0.3227463736,0.78,3.098408168
0.01,0.06,0.08,0.5,1.7,1.0,0.9983149215,185.2171274,0.3126322094,0.78,3.198646748
0.01,0.06,0.08,0.5,1.8,1.0,0.9983247322,180.6453018,0.3031370908,0.78,3.298837491
0.01,0.06,0.08,0.5,1.9,1.0,0.9983333544,176.2309639,0.2942048982,0.78,3.398991675
0.01,0.06,0.08,0.5,2.0,1.0,0.9983409901,171.9774022,0.285786342,0.78,3.499117533
0.01,0.06,0.08,0.5,2.1,1.0,0.9983477982,167.8843553,0.2778378859,0.78,3.599221167
0.01,0.06,0.08,0.5,1.2,1.0,0.998235187,209.7623629,0.3708458261,0.78,2.696538371
0.01,0.06,0.08,0.5,1.2,1.1,0.998630635,260.8062997,0.3576287525,0.78,2.796195756
0.01,0.06,0.08,0.5,1.2,1.2,0.9989145356,317.7870603,0.345321379,0.78,2.895853141
0.01,0.06,0.08,0.5,1.2,1.3,0.9991235855,380.5737311,0.3338329115,0.78,2.995510525
0.01,0.06,0.08,0.5,1.2,1.4,0.9992809032,448.9686635,0.3230842491,0.78,3.09516791
0.01,0.06,0.08,0.5,1.2,1.5,0.9994015448,522.710536,0.3130061608,0.78,3.194825295
0.01,0.06,0.08,0.5,1.2,1.6,0.9994956014,601.4780351,0.3035377925,0.78,3.294482679
0.01,0.06,0.08,0.5,1.2,1.7,0.9995700085,684.894302,0.2946254371,0.78,3.394140064
0.01,0.06,0.08,0.5,1.2,1.8,0.9996296394,772.5322245,0.2862215153,0.78,3.493797449
0.01,0.06,0.08,0.5,1.2,1.9,0.9996779865,863.9205806,0.2782837259,0.78,3.593454833
