lambdas_1,lambdas_2,lambdas_3,mu_1,mu_2,mu_3,Kg,Tno,Trem,lambda_otkaz,mu_system
0.01,0.06,0.08,0.5,1.2,1.0,0.998235187,209.7623629,0.3708458261,0.78,2.696538371
0.02,0.06,0.08,0.5,1.2,1.0,0.9980454336,189.3857529,0.3708919626,0.82,2.69620294
0.03,0.06,0.08,0.5,1.2,1.0,0.997579658,152.9069385,0.3709849949,0.86,2.69552681
0.04,0.06,0.08,0.5,1.2,1.0,0.9967588136,114.1357229,0.3711380834,0.9,2.694414949
0.05,0.06,0.08,0.5,1.2,1.0,0.995532614,82.75548921,0.371359718,0.94,2.692806871
0.06,0.06,0.08,0.5,1.2,1.0,0.9938727731,60.28463482,0.3716548492,0.98,2.690668512
0.07,0.06,0.08,0.5,1.2,1.0,0.991767672,44.8188088,0.372025771,1.02,2.687985828
0.08,0.06,0.08,0.5,1.2,1.0,0.9892181597,34.1738383,0.3724728076,1.06,2.684759745
0.09,0.06,0.08,0.5,1.2,1.0,0.9862342527,26.72287131,0.3729948455,1.1,2.681002196
0.1,0.06,0.08,0.5,1.2,1.0,0.9828325505,21.38792715,0.373589743,1.14,2.676733018
0.01,0.06,0.08,0.5,1.2,1.0,0.998235187,209.7623629,0.3708458261,0.78,2.696538371
0.01,0.07,0.08,0.5,1.2,1.0,0.9981847993,204.0642082,0.3710910881,0.85,2.694756172
0.01,0.08,0.08,0.5,1.2,1.0,0.998130203,198.2595175,0.3713995009,0.92,2.692518427
0.01,0.09,0.08,0.5,1.2,1.0,0.9980709388,192.3510058,0.3717740292,0.99,2.689805961
0.01,0.1,0.08,0.5,1.2,1.0,0.9980064468,186.338002,0.3722167572,1.06,2.68660661
0.01,0.11,0.08,0.5,1.2,1.0,0.9979360563,180.2179708,0.3727290291,1.13,2.682914187
0.01,0.12,0.08,0.5,1.2,1.0,0.9978589799,173.9882306,0.3733115691,1.2,2.678727591
0.01,0.13,0.08,0.5,1.2,1.0,0.9977743076,167.6477206,0.3739645824,1.27,2.674050023
0.01,0.14,0.08,0.5,1.2,1.0,0.9976810047,161.1986662,0.3746878407,1.34,2.668888315
0.01,0.15,0.08,0.5,1.2,1.0,0.9975779103,154.647989,0.3754807547,1.41,2.663252344
0.01,0.06,0.08,0.5,1.2,1.0,0.998235187,209.7623629,0.3708458261,0.78,2.696538371
0.01,0.06,0.09,0.5,1.2,1.0,0.9975900238,153.5086072,0.3708458261,0.82,2.696538371
0.01,0.06,0.1,0.5,1.2,1.0,0.9968233654,116.3708877,0.3708458261,0.86,2.696538371
0.01,0.06,0.11,0.5,1.2,1.0,0.9959320316,90.79157093,0.3708458261,0.9,2.696538371
0.01,0.06,0.12,0.5,1.2,1.0,0.9949140493,72.54488774,0.3708458261,0.94,2.696538371
