i,j,k,Pijk_ogr (veraiatnosth X=i Y=j Z=K),sum Pijk_ogr (veraiatnosth X<=i Y<=j Z<=K),Pijk_neogr (veraiatnosth X=i Y=j Z=K),sum Pijk_neogr (veraiatnosth X<=i Y<=j Z<=K)
0,0,0,0.4816484658,0.4816484658,0.4825909769,0.4825909769
0,0,1,0.154657389,0.6363058548,0.1544291126,0.6370200894
0,0,2,0.01897829671,0.6552841515,0.01853149351,0.655551583
0,0,3,0.001138839728,0.6564229912,0.0009883463206,0.6565399293
0,1,0,0.1685819468,0.6502304127,0.1689068419,0.6514978188
0,1,1,0.05413168643,0.8590194881,0.05405018941,0.8599771208
0,1,2,0.006642600223,0.884640385,0.006486022729,0.884994637
0,1,3,0.0003986056887,0.8861778304,0.0003459212122,0.8863289045
0,2,0,0.02531610625,0.6755465189,0.02533602628,0.676833845
0,2,1,0.008129005218,0.8924645995,0.008107528411,0.8934206754
0,2,2,0.0009975253946,0.9190830219,0.0009729034093,0.9194110951
0,2,3,5.985898346e-05,0.9206803263,5.188818183e-05,0.9207972508
0,3,0,0.002166310676,0.6777128296,0.002111335524,0.6789451806
0,3,1,0.0006956026575,0.8953265129,0.0006756273676,0.8962076383
0,3,2,8.535869971e-05,0.9220302939,8.107528411e-05,0.9222791333
0,3,3,5.12216032e-06,0.9236327204,4.324015153e-06,0.923669613
0,4,0,0.0001482977484,0.6778611273,0.0001055667762,0.6790507473
0,4,1,4.761842751e-05,0.895522429,3.378136838e-05,0.8963469865
0,4,2,5.843346069e-06,0.9222320534,4.053764206e-06,0.9224225352
0,4,3,3.506444624e-07,0.9238348306,2.162007576e-07,0.9238132311
0,5,0,7.613943289e-06,0.6778687413,3.167003286e-06,0.6790539143
0,5,1,2.444838243e-06,0.8955324878,1.013441051e-06,0.8963511669
0,5,2,3.000106615e-07,0.9222424122,1.216129262e-07,0.9224268372
0,5,3,1.800288326e-08,0.9238452074,6.486022729e-09,0.9238175397
0,6,0,2.6061143e-07,0.6778690019,5.278338809e-08,0.6790539671
0,6,1,8.36823662e-08,0.8955328321,1.689068419e-08,0.8963512366
0,6,2,1.026881926e-08,0.9222427668,2.026882103e-09,0.9224269089
0,6,3,6.16205949e-10,0.9238455626,1.081003788e-10,0.9238176115
1,0,0,0.03853187727,0.5201803431,0.03860727815,0.521198255
1,0,1,0.01237259112,0.6872103232,0.01235432901,0.6879816966
1,0,2,0.001518263736,0.7077068836,0.001482519481,0.7079957096
1,0,3,9.110717821e-05,0.7089368305,7.906770565e-05,0.7090631236
1,1,0,0.01348655575,0.7022488457,0.01351254735,0.7036176443
1,1,1,0.004330534915,0.9277410471,0.004324015153,0.9287752904
1,1,2,0.0005314080178,0.9554116158,0.0005188818183,0.955794208
1,1,3,3.188845509e-05,0.9570720568,2.767369698e-05,0.9572352169
1,2,0,0.0020252885,0.7295902404,0.002026882103,0.7309805526
1,2,1,0.0006503204174,0.9638617675,0.0006486022729,0.9648943295
1,2,2,7.980203157e-05,0.9926096636,7.783227275e-05,0.9929639827
1,2,3,4.788718677e-06,0.9943347524,4.151054546e-06,0.9944610309
1,3,0,0.0001733048541,0.731929856,0.0001689068419,0.733260795
1,3,1,5.56482126e-05,0.9669526339,5.405018941e-05,0.9679042494
