lambdas_1,lambdas_2,lambdas_3,mu_1,mu_2,mu_3,Kg,Tno,Trem,lambda_otkaz,mu_system
0.02,0.06,0.08,1,0.8,1.5,0.9981262406,161.8665246,0.3038682972,0.84,3.29089941
0.03,0.06,0.08,1,0.8,1.5,0.998047448,155.331469,0.3038861196,0.88,3.290706404
0.04,0.06,0.08,1,0.8,1.5,0.9979117396,145.2280651,0.3039086639,0.92,3.290462296
0.05,0.06,0.08,1,0.8,1.5,0.997705963,132.1860351,0.303936904,0.96,3.290156565
0.06,0.06,0.08,1,0.8,1.5,0.9974192813,117.4816859,0.3039716442,1,3.28978054
0.07,0.06,0.08,1,0.8,1.5,0.9970428917,102.5036995,0.3040135402,1.04,3.289327177
0.08,0.06,0.08,1,0.8,1.5,0.9965697748,88.33825656,0.3040631176,1.08,3.288790854
0.09,0.06,0.08,1,0.8,1.5,0.9959944729,75.62116463,0.3041207882,1.12,3.288167198
0.1,0.06,0.08,1,0.8,1.5,0.9953128923,64.59444298,0.304186865,1.16,3.287452928
0.11,0.06,0.08,1,0.8,1.5,0.9945221282,55.23949497,0.304261575,1.2,3.28664571
0.02,0.06,0.08,1,0.8,1.5,0.9981262406,161.8665246,0.3038682972,0.84,3.29089941
0.02,0.07,0.08,1,0.8,1.5,0.9977568313,135.3462577,0.3042870523,0.9,3.286370526
0.02,0.08,0.08,1,0.8,1.5,0.997254955,110.7331912,0.3048042946,0.96,3.280793669
0.02,0.09,0.08,1,0.8,1.5,0.9966003797,89.53446347,0.3054214969,1.02,3.274163771
0.02,0.1,0.08,1,0.8,1.5,0.9957749965,72.15265116,0.3061386402,1.08,3.266493897
0.02,0.11,0.08,1,0.8,1.5,0.9947630651,58.30644117,0.3069545366,1.14,3.257811437
0.02,0.12,0.08,1,0.8,1.5,0.9935513281,47.43329464,0.3078670903,1.2,3.248154906
0.02,0.13,0.08,1,0.8,1.5,0.9921290259,38.93322098,0.3088735095,1.26,3.237571269
0.02,0.14,0.08,1,0.8,1.5,0.9904878394,32.27678769,0.3099704773,1.32,3.226113689
0.02,0.15,0.08,1,0.8,1.5,0.9886217789,27.03532525,0.3111542902,1.38,3.213839666
0.02,0.06,0.08,1,0.8,1.5,0.9981262406,161.8665246,0.3038682972,0.84,3.29089941
0.02,0.06,0.09,1,0.8,1.5,0.9975911754,125.844089,0.3038682972,0.89,3.29089941
0.02,0.06,0.1,1,0.8,1.5,0.996951016,99.35827927,0.3038682972,0.94,3.29089941
0.02,0.06,0.11,1,0.8,1.5,0.9962018257,79.6999103,0.3038682972,0.99,3.29089941
0.02,0.06,0.12,1,0.8,1.5,0.9953406826,64.91347437,0.3038682972,1.04,3.29089941
0.02,0.06,0.13,1,0.8,1.5,0.9943655689,53.62673997,0.3038682972,1.09,3.29089941
0.02,0.06,0.14,1,0.8,1.5,0.9932752697,44.8828211,0.3038682972,1.14,3.29089941
0.02,0.06,0.15,1,0.8,1.5,0.9920692819,38.01148873,0.3038682972,1.19,3.29089941
0.02,0.06,0.16,1,0.8,1.5,0.9907477295,32.53869674,0.3038682972,1.24,3.29089941
0.02,0.06,0.17,1,0.8,1.5,0.9893112882,28.12502961,0.3038682972,1.29,3.29089941
0.02,0.06,0.08,1.0,0.8,1.5,0.9981262406,161.8665246,0.3038682972,0.84,3.29089941
0.02,0.06,0.08,1.1,0.8,1.5,0.9981356394,157.884982,0.2949043511,0.84,3.390929962
0.02,0.06,0.08,1.2,0.8,1.5,0.9981425026,153.9288891,0.2864546067,0.84,3.490954506
0.02,0.06,0.08,1.3,0.8,1.5,0.9981476712,150.0598021,0.2784759276,0.84,3.590974662
0.02,0.06,0.08,1.4,0.8,1.5,0.9981516666,146.3097208,0.27092991,0.84,3.690991519
0.02,0.06,0.08,1.5,0.8,1.5,0.9981548251,142.694065,0.2637822374,0.84,3.79100583
0.02,0.06,0.08,1.6,0.8,1.5,0.9981573706,139.2187592,0.2570021431,0.84,3.891018136
0.02,0.06,0.08,1.7,0.8,1.5,0.9981594569,135.8842353,0.2505619582,0.84,3.991028835
0.02,0.06,0.08,1.8,0.8,1.5,0.9981611924,132.6877571,0.2444367286,0.84,4.091038224
0.02,0.06,0.08,1.9,0.8,1.5,0.9981626549,129.6248019,0.2386038886,0.84,4.191046533
0.02,0.06,0.08,1.0,0.8,1.5,0.9981262406,161.8665246,0.3038682972,0.84,3.29089941
0.02,0.06,0.08,1.0,0.9,1.5,0.9983097011,174.0498423,0.294694372,0.84,3.393346107
0.02,0.06,0.08,1.0,1.0,1.5,0.9984256467,181.4546509,0.2861241969,0.84,3.494985782
0.02,0.06,0.08,1.0,1.1,1.5,0.9985028177,185.455554,0.2780771033,0.84,3.596124917
0.02,0.06,0.08,1.0,1.2,1.5,0.9985564691,187.1130613,0.2704939473,0.84,3.696940394
0.02,0.06,0.08,1.0,1.3,1.5,0.9985951798,187.183031,0.2633284251,0.84,3.797539136
0.02,0.06,0.08,1.0,1.4,1.5,0.9986240164,186.1865073,0.2565425828,0.84,3.897988353
0.02,0.06,0.08,1.0,1.5,1.5,0.9986460993,184.4785934,0.2501043103,0.84,3.998331732
0.02,0.06,0.08,1.0,1.6,1.5,0.9986634221,182.3011848,0.2439858406,0.84,4.098598499
0.02,0.06,0.08,1.0,1.7,1.5,0.9986772996,179.8198435,0.2381627906,0.84,4.198808712
0.02,0.06,0.08,1.0,0.8,1.5,0.9981262406,161.8665246,0.3038682972,0.84,3.29089941
0.02,0.06,0.08,1.0,0.8,1.6,0.9983558999,179.1099597,0.2949596457,0.84,3.390294281
0.02,0.06,0.08,1.0,0.8,1.7,0.9985383543,195.7653748,0.2865584746,0.84,3.489689152
0.02,0.06,0.08,1.0,0.8,1.8,0.998685127,211.6221558,0.2786226218,0.84,3.589084022
0.02,0.06,0.08,1.0,0.8,1.9,0.998804526,226.5129721,0.2711144699,0.84,3.688478893
0.02,0.06,0.08,1.0,0.8,2.0,0.9989026435,240.3144725,0.2640003502,0.84,3.787873764
0.02,0.06,0.08,1.0,0.8,2.1,0.998984015,252.945345,0.257250037,0.84,3.887268635
0.02,0.06,0.08,1.0,0.8,2.2,0.9990520645,264.3624303,0.2508363193,0.84,3.986663505
0.02,0.06,0.08,1.0,0.8,2.3,0.9991094093,274.5556016,0.2447346337,0.84,4.086058376
0.02,0.06,0.08,1.0,0.8,2.4,0.9991580734,283.542057,0.2389227501,0.84,4.185453247
