i,nomer otkazavshih elementov i-ogo typa,veraiatnosth,lambda (i -> i+1),mu (i+1 -> i)
1,0,0.923845426,0.08,1
1,1,0.07390763408,0.06,2
1,2,0.002217229022,0.04,3
1,3,2.956305363e-05,0.02,4
1,4,1.478152682e-07,0,0
2,0,0.6479615185,0.36,0.8
2,1,0.2915826833,0.3,1.6
2,2,0.05467175312,0.24,2.4
2,3,0.005467175312,0.18,3.2
2,4,0.0003075286113,0.12,4
2,5,9.225858339e-06,0.06,4.8
2,6,1.153232292e-07,0,0
3,0,0.7712068182,0.4,1.5
3,1,0.2056551515,0.32,3
3,2,0.0219365495,0.24,4.5
3,3,0.001169949306,0.16,6
3,4,3.119864817e-05,0.08,7.5
3,5,3.327855805e-07,0,0
