i,j,k,Pijk_ogr (veraiatnosth X=i Y=j Z=K),sum Pijk_ogr (veraiatnosth X<=i Y<=j Z<=K),Pijk_neogr (veraiatnosth X=i Y=j Z=K),sum Pijk_neogr (veraiatnosth X<=i Y<=j Z<=K)
0,0,0,0.460411559,0.460411559,0.4616569606,0.4616569606
0,0,1,0.123523895,0.583935454,0.1231085228,0.5847654834
0,0,2,0.01363130082,0.5975667548,0.01313157577,0.5978970591
0,0,3,0.0008450504767,0.5984118053,0.0007003507076,0.5985974098
0,1,0,0.2071913268,0.6676028858,0.2077456323,0.6694025928
0,1,1,0.05558739608,0.8467141769,0.05539883527,0.8479099509
0,1,2,0.006134266717,0.8664797444,0.005909209095,0.8669507358
0,1,3,0.0003802839569,0.8677050788,0.0003151578184,0.8679662443
0,2,0,0.03889264051,0.7064955263,0.03895230605,0.7083548989
0,2,1,0.0104345131,0.8960413305,0.01038728161,0.8972495385
0,2,2,0.001151485605,0.9169583836,0.001107976705,0.9173983001
0,2,3,7.138449015e-05,0.9182551025,5.909209095e-05,0.9184729007
0,3,0,0.003993673031,0.7104891993,0.003895230605,0.7122501295
0,3,1,0.001071463213,0.9011064667,0.001038728161,0.9021834973
0,3,2,0.0001182397735,0.9221417596,0.0001107976705,0.9224430566
0,3,3,7.330083776e-06,0.9234458086,5.909209095e-06,0.9235235664
0,4,0,0.0003075663687,0.7107967657,0.0002191067215,0.7124692362
0,4,1,8.251703306e-05,0.9014965501,5.842845907e-05,0.9024610325
0,4,2,9.106047866e-06,0.9225409491,6.232368968e-06,0.9227268241
0,4,3,5.645147291e-07,0.9238455626,3.323930116e-07,0.9238076663
1,0,0,0.03683292472,0.4972444837,0.03693255684,0.4985895174
1,0,1,0.0098819116,0.6306502903,0.009848681825,0.631546722
1,0,2,0.001090504066,0.6453720952,0.001050526061,0.6457288239
1,0,3,6.760403814e-05,0.6462847497,5.602805661e-05,0.6464852026
1,1,0,0.01657530614,0.7210111166,0.01661965058,0.7229548002
1,1,1,0.004446991687,0.914451311,0.004431906821,0.915742747
1,1,2,0.0004907413373,0.9357981239,0.0004727367276,0.9363067946
1,1,3,3.042271655e-05,0.9371214851,2.521262547e-05,0.9374035438
1,2,0,0.00311141124,0.7630151684,0.003116184484,0.7650232908
1,2,1,0.0008347610477,0.9677246369,0.000830982529,0.9690295016
1,2,2,9.211884837e-05,0.9903150543,8.863813643e-05,0.9907901641
1,2,3,5.710759212e-06,0.9917155107,4.727367276e-06,0.9919507328
1,3,0,0.0003194938425,0.7673283353,0.0003116184484,0.7692301398
1,3,1,8.571705702e-05,0.973194984,8.30982529e-05,0.9743581771
1,3,2,9.459181882e-06,0.9959131004,8.863813643e-06,0.9962385011
1,3,3,5.864067021e-07,0.9973214733,4.727367276e-07,0.9974054517
1,4,0,2.46053095e-05,0.7676605069,1.752853772e-05,0.7694667751
1,4,1,6.601362645e-06,0.9736162741,4.674276726e-06,0.9746579151
1,4,2,7.284838293e-07,0.996344225,4.985895174e-07,0.99654497
1,4,3,4.516117833e-08,0.9977532076,2.659144093e-08,0.9977122796
2,0,0,0.001104987742,0.4983494715,0.001107976705,0.4996974941
2,0,1,0.000296457348,0.6320517354,0.0002954604548,0.6329501592
2,0,2,3.271512197e-05,0.6468062554,3.151578184e-05,0.6471637768
2,0,3,2.028121144e-06,0.6477209381,1.680841698e-06,0.6479218364
2,1,0,0.0004972591842,0.7226133636,0.0004985895174,0.7245613665
2,1,1,0.0001334097506,0.916483425,0.0001329572046,0.9177777308
2,1,2,1.472224012e-05,0.9378776753,1.418210183e-05,0.9383874764
2,1,3,9.126814965e-07,0.9392039773,7.563787642e-07,0.9394866628
2,2,0,9.334233721e-05,0.7647107576,9.348553451e-05,0.7667233425
2,2,1,2.504283143e-05,0.9698751361,2.492947587e-05,0.9711829005
2,2,2,2.763565451e-06,0.9925157544,2.659144093e-06,0.99299192
2,2,3,1.713227764e-07,0.993919323,1.418210183e-07,0.9941550678
2,3,0,9.584815275e-06,0.7690335093,9.348553451e-06,0.7709395401
2,3,1,2.571511711e-06,0.9753576396,2.492947587e-06,0.9765234175
2,3,2,2.837754565e-07,0.9981262406,2.659144093e-07,0.9984523644
2,3,3,1.759220106e-08,0.9995377433,1.418210183e-08,0.9996219082
2,4,0,7.38159285e-07,0.7693664192,5.258561316e-07,0.7711767012
2,4,1,1.980408794e-07,0.9757798658,1.402283018e-07,0.9768238216
2,4,2,2.185451488e-08,0.9985583233,1.495768552e-08,0.9987595144
2,4,3,1.35483535e-09,0.9999704369,7.977432278e-10,0.999929418
3,0,0,1.473316989e-05,0.4983642046,1.477302274e-05,0.4997122671
3,0,1,3.95276464e-06,0.6320704214,3.93947273e-06,0.6329688717
3,0,2,4.362016262e-07,0.6468253776,4.202104245e-07,0.6471829095
3,0,3,2.704161525e-08,0.6477400872,2.241122264e-08,0.6479409915
3,1,0,6.630122456e-06,0.7226347268,6.647860232e-06,0.7245827873
3,1,1,1.778796675e-06,0.9165105199,1.772762729e-06,0.917804864
