i,j,k,Pijk_ogr (veraiatnosth X=i Y=j Z=K),sum Pijk_ogr (veraiatnosth X<=i Y<=j Z<=K),Pijk_neogr (veraiatnosth X=i Y=j Z=K),sum Pijk_neogr (veraiatnosth X<=i Y<=j Z<=K)
3,1,2,1.962965349e-07,0.9379054027,1.89094691e-07,0.9384152188
3,1,3,1.216908662e-08,0.9392317439,1.008505019e-08,0.9395144377
3,2,0,1.244564496e-06,0.7647333655,1.246473794e-06,0.7667460099
3,2,1,3.339044191e-07,0.9699038094,3.323930116e-07,0.9712116125
3,2,2,3.684753935e-08,0.9925450971,3.545525457e-08,0.9930212768
3,2,3,2.284303685e-09,0.9939487071,1.89094691e-09,0.9941844589
3,3,0,1.27797537e-07,0.769056245,1.246473794e-07,0.7709623321
3,3,1,3.428682281e-08,0.975386475,3.323930116e-08,0.9765522874
3,3,2,3.783672753e-09,0.9981557491,3.545525457e-09,0.9984818826
3,3,3,2.345626808e-10,0.9995672935,1.89094691e-10,0.999651461
3,4,0,9.8421238e-09,0.7693891647,7.011415088e-09,0.7711995003
3,4,1,2.640545058e-09,0.9758087137,1.86971069e-09,0.9768527003
3,4,2,2.913935317e-10,0.9985878446,1.99435807e-10,0.9987890417
3,4,3,1.806447133e-11,1,1.063657637e-11,0.9999589799
