i,nomer otkazavshih elementov i-ogo typa,veraiatnosth,lambda (i -> i+1),mu (i+1 -> i)
1,0,0.9238455626,0.08,1
1,1,0.07390764501,0.06,2
1,2,0.00221722935,0.04,3
1,3,2.9563058e-05,0,0
2,0,0.6477400872,0.36,0.7999763496
2,1,0.2914916566,0.3,1.598178916
2,2,0.05471696325,0.24,2.337255366
2,3,0.005618586387,0.18,2.337255366
2,4,0.0004327064832,0,0
3,0,0.7693891647,0.4,1.490923061
3,1,0.2064195491,0.32,2.899770677
3,2,0.02277913086,0.24,3.871380807
3,3,0.001412155424,0,0
