i,nomer otkazavshih elementov i-ogo typa,veraiatnosth,lambda (i -> i+1),mu (i+1 -> i)
1,0,0.8625113744,0.15,1
1,1,0.1293767062,0.12,2
1,2,0.007762602369,0.09,2
1,3,0.0003493171066,0,0
2,0,0.580899429,0.49,0.8926992725
2,1,0.3188539848,0.42,1.668959509
2,2,0.08024081642,0.35,1.668959509
2,3,0.01682742187,0.28,1.668959509
2,4,0.002823123088,0.21,1.668959509
2,5,0.0003552248242,0,0
3,0,0.8141220116,0.28,1.349630121
3,1,0.1689012121,0.21,2.220979264
3,2,0.01597009711,0.14,2.220979264
3,3,0.001006679185,0,0
